data,addthis_stream-lib.json,square_javapoet.json,progether_jadventure.json,cowtowncoder_low-gc-membuffers.json,takahikokawasaki_nv-websocket-client.json,julman99_gson-fire.json,cowtowncoder_java-uuid-generator.json,avaje-metrics_metrics.json,laforge49_jactor.json,jakewharton_disklrucache.json,tumblr_jumblr.json,sanity_lastcalc.json,danieldk_dictomaton.json,square_protoparser.json,fasseg_exp4j.json,apache_commons-cli.json,jonbo372_efflux.json,yegor256_xembly.json,smartrics_restfixture.json,opendatalab-de_geojson-jackson.json,skyscreamer_jsonassert.json,thrau_jarchivelib.json,stateless4j_stateless4j.json,mpatric_mp3agic.json,dius_java-faker.json,apotapov_gdx-artemis.json,taksan_skype-java-api.json
[1],0.6337825115534581,0.8279585091231559,0.8469946967784525,0.7332166907136681,0.8921419467780903,0.7008029363988604,0.6538696635750241,0.4860308939295258,0.7542355568328449,0.7415464216331391,0.8000269278982312,0.8643162784890908,0.7018356878641444,0.8575628711454533,0.777696306658037,0.7736272108581329,0.7170122014379505,0.8668234574743764,0.7205779207548353,0.6531590732087227,0.8045062947961021,0.7357494722026742,0.8340719045137996,0.7531865582673827,0.6688506791877091,0.8228444610972604,0.694388321253967
"[1, 1]",0.8475849362750747,0.9137832529082899,0.9296127490305655,0.8742093082004464,0.941816074211415,0.8453722363456108,0.8181139210402699,0.8736266537889343,0.9427858733248277,0.9218011687660589,0.9004531315288546,0.9228972245815933,0.8534341741542367,0.9283429785079816,0.9393942209324174,0.8872475968386865,0.848874712133187,0.9371839455368574,0.8600669547635824,0.8293145200545171,0.9020662208092902,0.867301536855009,0.9175838035972438,0.8781354904950752,0.8344840538099808,0.909318211295413,0.8843393515738913
"[1, 1, 1, 1]",0.9322096995901559,0.9565343396380936,0.9655818259210229,0.9452165109895635,0.9689312148659398,0.9283131214587681,0.9255883063969291,0.968258905683095,0.9782859448094878,0.9672396910446825,0.9537592274478852,0.9543548048395204,0.97348933719227,0.963392781647772,0.9775034970875002,0.9433429373200561,0.9375185348625689,0.9686312113438721,0.9298800858770954,0.9127725856697818,0.9505868303782411,0.9323624889332819,0.9573143772336007,0.9402042895391247,0.917951384763384,0.9489775331094811,0.9704168989621752
"[1, 1, 1, 1, 1, 1, 1, 1]",0.9790956448269904,0.9781789134109559,0.983368932994904,0.9787524947716624,0.9802561736883036,0.9658441474181101,0.9719098804813764,0.9790179855408256,0.991566579070743,0.9900376793883562,0.9776257022145874,0.9692101689080777,0.9750033470239055,0.9808883127258852,0.9897048875712467,0.9714915772044899,0.9666656261129787,0.9834120284763062,0.9650771220883085,0.9544864072235203,0.9746225542970831,0.9637352159996367,0.9778162631814546,0.9705386231642739,0.9592398590311696,0.9690173557569907,0.9855521574892071
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.9955081126787458,0.9887338526091113,0.9908167949141936,0.9888476794224698,0.9865052680760212,0.9829585690198527,0.981889420213801,0.9819479694317508,0.9958776120930274,0.9943418249044307,0.9885872138910814,0.9748063228183325,0.9752577399848047,0.9896388222209214,0.9948621521180867,0.985414914012408,0.9767315641082762,0.9894806556547965,0.9832883969836028,0.981031566394081,0.9865309114717213,0.9825202606070236,0.9869987928466071,0.985025234844103,0.9798543619988282,0.9833263679727918,0.9870304950395974
"[1, 2]",0.8939687505155306,0.9426323942093968,0.9514654828696609,0.9138218990679482,0.9638309543453126,0.8987351061548698,0.8977291264979137,0.9347290409393245,0.9507930851110153,0.9423793241210753,0.9358786387483171,0.952128039965104,0.902382771524682,0.9523501203817528,0.9484045973651793,0.9246087740525613,0.9057020686680297,0.9572035893486887,0.9067709305827949,0.8844051182827102,0.9345372712022396,0.9125275249143038,0.9445615262968644,0.9198903707229684,0.8898543257279693,0.9398943426861313,0.9168038773694142
"[1, 3]",0.9239000392316533,0.9568398073893788,0.962228799703869,0.935683495168815,0.9732403916385003,0.9244288256382625,0.920467264554601,0.9550965769863902,0.9536185580346581,0.9573777495769882,0.952757713914295,0.9643392165763305,0.9336101631599173,0.9641942132746222,0.9585202841514082,0.9438856219227302,0.9341462895510909,0.9721697760512804,0.9300696967724877,0.9133444071261683,0.9510621041978371,0.9362532065106354,0.9589261104710466,0.9388060753044771,0.9173942940467783,0.9541290417105004,0.9300809138862682
"[1, 4]",0.931201110229389,0.9658240131136968,0.9693686269842976,0.9502462094552474,0.9788627875411408,0.9449354794554148,0.9340657755345515,0.9652800851339747,0.9622119739708749,0.9671686798897037,0.9626899670365384,0.9717659308307467,0.9491442601124472,0.971322203305864,0.9661508017203582,0.9544521558904266,0.949839291212666,0.9749840811279347,0.9439457627401623,0.9299269251362928,0.9610161198727746,0.9474434178565753,0.9667678376176883,0.9507619197853908,0.9339034644617698,0.9636637556263301,0.9458554523329616
"[1, 1, 1, 1, 4, 4, 4, 4]",0.9895057408448469,0.9914069422743971,0.992971478464263,0.9885496893160932,0.9933002137984261,0.9862108214431808,0.9844675711637981,0.9934757527963268,0.9966898692447591,0.9946989095694678,0.9909323181206185,0.9897309113660612,0.9936432447740801,0.9926436057830939,0.9956190126730275,0.9889441214719279,0.9869484060372924,0.9939007531081584,0.986219087448533,0.9830086339077103,0.9900833926964535,0.9871029034528161,0.9910949963675324,0.9880446610462136,0.9837229989864797,0.9897966354906736,0.9936979729536554
